name,address,category,lat,lon,query
БелВЭБ,"Московский просп., 60А, этаж 1",,55.179925,30.222433,банкомат
Белинвестбанк,"ул. Максима Горького, 90",,55.17173,30.142729,банкомат
МТБАНК,"просп. Черняховского, 6, Помещение РКЦ №58",,55.181071,30.202744,банкомат
Белагропромбанк,"ул. Чкалова, 35, этаж 2",,55.162899,30.207546,банкомат
Альфа-Банк,"просп. Строителей, 15, корп. 1, Гипермаркет Евроопт",,55.169961,30.223108,банкомат
Белинвестбанк,"ул. Генерала Белобородова, 2А",,55.185992,30.189689,банкомат
ВТБ,"просп. Строителей, 15В, этаж 1",,55.170474,30.220231,банкомат
БелВЭБ,"ул. Короткевича, 3, ВКК Витьба",,55.169665,30.256187,банкомат
Белинвестбанк,"ул. Максима Горького, 72",,55.172943,30.15165,банкомат
Беларусбанк,"просп. Строителей, 12/199, отдел №200/2015",,55.171457,30.222895,банкомат
Беларусбанк,"ул. Богатырёва, 1А, отдел №200/2032",,55.169852,30.257584,банкомат
Приорбанк,"просп. Строителей, 11А, ЦБУ 200 Приорбанк ОАО, ТЦ Омега",,55.170866,30.215149,банкомат
Белинвестбанк,"ул. Софьи Панковой, 1Б",,55.187883,30.25471,банкомат
Приорбанк,"ул. Чкалова, 35, ТЦ Green центр",,55.16251,30.208097,банкомат
Беларусбанк,"1-я Заречная ул., 3",,55.161989,30.14621,банкомат
Приорбанк,"Московский просп., 32, магазин Витебские продукты",,55.180886,30.215436,банкомат
Банк РРБ,"Бешенковичское ш., 3, ТЦ Корона",Банк,55.160103,30.16726,банкомат
Беларусбанк,"ул. Терешковой, 3, Административное здание",,55.177778,30.246944,банкомат
Приорбанк,"Бешенковичское ш., 3, ТЦ Корона",,55.160103,30.16726,банкомат
Беларусбанк,"ул. Карла Маркса, 53",,55.186484,30.168641,банкомат
Приорбанк,"1-я Пролетарская ул., 6, ОДО ПК Квант продажа авто",,55.174162,30.149931,банкомат
БеларусБанк,"ул. Карла Маркса, 53",,55.186491,30.168641,банкомат
Беларусбанк,"Смоленская ул., 9А",,55.185166,30.232683,банкомат
Белинвестбанк,"Московский просп., 57",,55.172118,30.249184,банкомат
Сбер Банк,"Витебск, ул. Ленина, 26, этаж 1",Банк,55.190762,30.205611,отделение банка
Paritetbank,"Витебск, Московский просп., 12",Банк,55.182343,30.207393,отделение банка
МТБАНК,"Витебск, просп. Черняховского, 6",Банк,55.181032,30.202741,отделение банка
Беларусбанк,"Витебск, Московский просп., 7, отдел №200/2006",Банк,55.181625,30.205208,отделение банка
Белинвестбанк,"Витебск, ул. Чкалова, 35, этаж 2",Банк,55.162231,30.207194,отделение банка
Paritetbank,"Витебск, пр. Гоголя, 11, этаж 1, 2",Банк,55.186329,30.202531,отделение банка
Белагропромбанк,"Витебск, Московский просп., 31А",Банк,55.178569,30.223248,отделение банка
Беларусбанк,"Витебск, Московский просп., 45Б, отдел №200/2029",Банк,55.176268,30.237423,отделение банка
Беларусбанк,"Витебск, Замковая ул., 30, отдел №200/2013",Банк,55.192475,30.205874,отделение банка
Белагропромбанк,"Витебск, просп. Строителей, 3, корп. 2",Банк,55.170675,30.203723,отделение банка
Банк РРБ,"Витебск, Московский просп., 8",Банк,55.183624,30.206267,отделение банка
Беларусбанк,"Витебск, Смоленская ул., 9А, этаж 2",Банк,55.185172,30.232727,отделение банка
Беларусбанк,"Витебск, ул. Терешковой, 3, ПУ Витебскгаз Проходная ПУ Витебскгаз",,55.177608,30.247054,банкомат
Беларусбанк,"Витебск, Московский просп., 70",,55.178294,30.233203,банкомат
Белинвестбанк,"Витебск, Московский просп., 86",,55.176224,30.247389,банкомат
Белинвестбанк,"Витебск, Московский просп., 80, корп. 1",,55.176625,30.243293,банкомат
Беларусбанк,"Витебск, Московский просп., 45Б, отдел №200/2029",,55.176229,30.237396,банкомат
Белгазпромбанк,"Витебск, Московский просп., 70",,55.178261,30.233444,банкомат
Белагропромбанк,"Витебск, просп. Фрунзе, 81, корп. 33",,55.192311,30.251535,банкомат
Белагропромбанк,"Витебск, просп. Строителей, 12, Центр банковских услуг №202",,55.171184,30.221952,банкомат
"Белинвестбанк, банкомат","Витебск, Московский просп., 33",,55.177631,30.227037,банкомат
